battery_id,cycle,voltage,temperature,capacity,soh,rul,dT_dt,dV_dt,capacity_fade_pct,temp_roll_avg,volt_roll_avg,fault_type,Pressure,global_radiation,temp_mean(c),temp_min(c),temp_max(c),Wind_Speed,Wind_Bearing,normalized_label,Timestamp,Electricity_Consumed,Temperature,Humidity,Wind_Speed,Avg_Past_Consumption
B0005,14,3.566431186,32.01589605,1.818805531,0.976814459,154,-0.267710847,0.006074498,9.059723454,32.18129433,3.560299049,Normal,979.7,0.31,8.9,6.8,11,0,0,0,01-01-2024 06:30,0.056119959,0.494496272,0.427604171,0.600314344,0.422855206
B0005,15,3.56563495,32.00004598,1.817299293,0.976005513,153,-0.015850064,-0.000796236,9.13503537,32.14306744,3.561848469,Normal,980.6,1.01,3.5,0.6,7.1,0,0,0,01-01-2024 07:00,0.087513695,0.536674929,0.617029043,0.561018733,0.351397753
B0005,16,3.559994137,31.93459208,1.796895091,0.965047157,152,-0.0654539,-0.005640813,10.15524545,32.11636022,3.562577788,Normal,980.7,0.2,8.6,5.6,9.6,0,0,0,01-01-2024 07:30,0.281285412,0.457714164,0.502186226,0.576167271,0.33566837
B0005,17,3.558613342,31.95811723,1.817333101,0.976023671,151,0.023525153,-0.001380796,9.133344959,32.03845165,3.56220606,Normal,980.9,2.12,9.5,5.5,14.8,0,0,1,01-01-2024 08:00,0.206194813,0.243932311,0.338289335,0.380098202,0.211422815
B0005,18,3.559118904,31.96500865,1.808416084,0.971234665,150,0.006891411,0.000505563,9.579195775,31.974732,3.561958504,Normal,981.1,0.71,8.9,6.5,12.3,0,0,0,01-01-2024 08:30,0.427374555,0.80045814,0.563436389,0.438820816,0.189699989
B0005,19,3.564278369,31.87500939,1.808138168,0.971085406,149,-0.089999253,0.005159464,9.593091578,31.94655467,3.56152794,Normal,981.3,0.69,10,8.6,13.3,0,0,0,01-01-2024 09:00,0.223662654,0.547238762,0.391031805,0.343887459,0.168678798
B0005,20,3.563243576,32.24684641,1.852376797,0.994844368,148,0.371837016,-0.001034793,7.381160156,31.99591475,3.561049665,Normal,981.4,0.18,8.7,8,9.5,0,0,0,01-01-2024 09:30,0.13961605,0.579825989,0.759807755,0.437394875,0.074975475
B0005,21,3.559804802,32.62250011,1.862149613,1.000092993,147,0.375653699,-0.003438774,6.892519335,32.13349636,3.561011798,Normal,981.5,0.4,9.4,7,11.6,0,0,0,01-01-2024 10:00,0.619274795,0.518622507,0.723113836,0.544718654,0.167442246
B0005,22,3.561487669,32.26410763,1.841547557,0.989028376,146,-0.358392481,0.001682867,7.922622166,32.19469444,3.561586664,Normal,981.5,0.32,8.4,4.7,11.6,0,0,0,01-01-2024 10:30,0.337370617,0.427739718,0.584860404,0.47879287,0.178944038
B0005,23,3.564026339,31.94849105,1.840515964,0.988474345,145,-0.315616572,0.00253867,7.974201794,32.19139092,3.562568151,Normal,981.6,0.38,9.6,8,11.2,0,0,0,01-01-2024 11:00,0.386254701,0.50144241,0.69609715,0.619984549,0.170582815
B0005,24,3.559694165,31.85540777,1.819973236,0.977441592,144,-0.093083283,-0.004332174,9.001338193,32.18747059,3.56165131,Normal,981.8,0.31,10.1,7.7,12.1,0,0,0,01-01-2024 11:30,0.137541969,0.311751913,0.505603016,0.325712039,0.193999832
B0005,25,3.557595502,31.79193254,1.840332339,0.988375727,143,-0.063475234,-0.002098663,7.983383025,32.09648782,3.560521696,Normal,982.1,0.86,10.8,8.7,13.5,0,0,1,01-01-2024 12:00,0.284269546,0.831983335,0.60857123,0.522660285,0.250586928
B0005,26,3.565914193,31.65359519,1.828725597,0.982142167,142,-0.138337346,0.008318691,8.563720132,31.90270684,3.561743574,Normal,982.1,0.15,8.5,4.7,11.5,0,0,0,01-01-2024 12:30,0.393487098,0.360719899,0.713249589,0.31288887,0.282856198
B0005,27,3.562842776,31.56095539,1.820124478,0.977522818,141,-0.092639802,-0.003071418,8.993776089,31.76207639,3.562014595,Normal,982.3,0.67,3.6,0.8,6.5,0,0,0,01-01-2024 13:00,0.183167737,0.387901933,0.532160089,0.473945289,0.276233598
B0005,28,3.556833231,31.5655865,1.819330167,0.977096222,140,0.00463111,-0.006009545,9.033491656,31.68549548,3.560575974,Normal,982.7,0.22,5.8,4,7.6,0,0,0,01-01-2024 13:30,0.437616336,0.467310189,0.458578398,0.551464344,0.27917914
B0005,29,3.568290947,31.50585068,1.808117474,0.971074292,139,-0.059735816,0.011457716,9.594126321,31.61558406,3.56229533,Normal,982.8,0.21,8.2,5.5,10.8,0,0,0,01-01-2024 14:00,0.274893552,0.699256141,0.24556686,0.436913253,0.293913175
B0005,30,3.566946127,31.50067989,1.809389854,0.971757641,138,-0.005170788,-0.001344821,9.530507279,31.55733353,3.564165455,Normal,982.9,0.67,10.9,7.7,15.2,0,0,1,01-01-2024 14:30,0.326384375,0.528340978,0.48386371,0.528765318,0.347627853
B0005,31,3.555577852,31.9375352,1.859972232,0.998923601,137,0.436855304,-0.011368274,7.001388404,31.61412153,3.562098187,Normal,982.9,1.04,5.8,3.1,8.4,0,0,1,01-01-2024 15:00,0.274715565,0.360501982,0.617092911,0.347508493,0.24853242
B0005,32,3.56624961,32.018959,1.833606941,0.98476376,136,0.081423807,0.010671757,8.319652973,31.70572226,3.562779553,Normal,982.9,1.01,4.1,0.6,7.1,0,0,0,01-01-2024 15:30,0.683713031,0.69472852,0.635053148,0.263055124,0.348140698
B0005,33,3.565151716,31.80299265,1.822825781,0.97897359,135,-0.215966351,-0.001097894,8.858710962,31.75320349,3.56444325,Normal,983.1,0.83,9.8,6.3,14.3,0,0,0,01-01-2024 16:00,0.372750463,0.624495566,0.570203558,0.529473499,0.344256872
B0005,34,3.564659069,31.39007083,1.812174814,0.973253342,134,-0.412921819,-0.000492648,9.391259324,31.73004752,3.563716875,Normal,983.2,0.48,14.6,12.9,12.1,0,0,0,01-01-2024 16:30,0.198714845,0.598652873,0.416530876,0.671874839,0.361850226
B0005,35,3.563826424,31.32256717,1.80752671,0.970757014,133,-0.067503669,-0.000832644,9.623664479,31.69442497,3.563092934,Normal,983.3,0.24,5.9,4.5,7.5,0,0,0,01-01-2024 17:00,0.512090819,0.622446786,0.205563917,0.343152092,0.427371756
B0005,36,3.557943411,31.92433445,1.807520342,0.970753594,132,0.601767286,-0.005883014,9.623982889,31.69178482,3.563566046,Normal,983.7,0.16,7.6,5.4,9.8,0,0,0,01-01-2024 17:30,0.171526058,0.847721925,0.423303463,0.609272885,0.363535632
B0005,37,3.560662529,31.61184504,1.785686904,0.959027647,131,-0.312489417,0.002719118,10.71565479,31.61036203,3.56244863,Normal,983.7,0.17,9.9,9,10.5,0,0,0,01-01-2024 18:00,0.409810599,0.819637881,0.451354094,0.467856475,0.42871825
B0005,38,3.558624379,31.4469868,1.791061005,0.961913881,130,-0.164858236,-0.002038149,10.44694974,31.53916086,3.561143162,Normal,983.8,0.76,6.3,3.8,8.1,0,0,0,01-01-2024 18:30,0.048388313,0.434235289,0.45009256,0.302404898,0.316776046
B0005,39,3.558098767,31.27596798,1.781193151,0.956614215,129,-0.171018824,-0.000525612,10.94034246,31.51634029,3.559831102,Normal,983.9,0.15,9.4,6.9,12,0,0,0,01-01-2024 19:00,0.153635659,0.744322407,0.586985315,0.326900995,0.281902206
B0005,40,3.555129331,31.52557286,1.775965654,0.953806716,128,0.249604883,-0.002969436,11.20171729,31.55694142,3.558091683,Normal,984,0.45,3.1,1.1,6.5,0,0,0,01-01-2024 19:30,0.407810206,0.577815767,0.787899731,0.464540685,0.305320322
B0005,41,3.562407505,32.01143948,1.770784907,0.951024325,127,0.48586662,0.007278174,11.46075463,31.57436243,3.558984502,Normal,984.1,0.61,4.2,1.8,9.2,0,0,0,01-01-2024 20:00,0.498077763,0.593373483,0.514235236,0.414123901,0.369559419
B0005,42,3.555763764,32.25414816,1.759556355,0.944993877,126,0.242708678,-0.006643741,12.02218224,31.70282305,3.558004749,Normal,984.3,0.3,8.5,6.5,10.5,0,0,0,01-01-2024 20:30,0.40356138,0.299287762,0.46422987,0.305137627,0.288987643
B0005,43,3.56081173,31.80684129,1.772959448,0.952192192,125,-0.447306871,0.005047966,11.35202761,31.77479395,3.558442219,Normal,984.4,0.13,1.8,0.9,3,0,0,0,01-01-2024 21:00,0.355725286,0.503527736,0.45798546,0.259414136,0.284091192
B0005,44,3.557100057,31.69204479,1.765608591,0.948244313,124,-0.114796491,-0.003711674,11.71957047,31.85800931,3.558242477,Normal,984.5,0.52,9.6,6.3,12.9,0,0,1,01-01-2024 21:30,0.324816051,0.417311314,0.514360971,0.361066594,0.320357972
B0005,45,3.54916717,31.4421047,1.75985743,0.945155573,123,-0.249940091,-0.007932886,12.00712852,31.84131568,3.557050045,Normal,984.5,0.41,4.8,-0.3,9.8,0,0,1,01-01-2024 22:00,0.128579668,0.637520966,0.374353625,0.485898144,0.210059944
B0005,46,3.552645245,31.29942787,1.744776071,0.937055923,122,-0.142676829,0.003478074,12.76119643,31.69891336,3.555097593,Normal,984.7,0.28,9.6,7.9,11.4,0,0,1,01-01-2024 22:30,0.255025965,0.670134955,0.513745758,0.461879101,0.234074565
B0005,47,3.551906327,31.3054451,1.738996153,0.933951738,121,0.006017228,-0.000738917,13.05019235,31.50917275,3.554326106,Normal,984.7,1.28,9.3,7,13.5,0,0,0,01-01-2024 23:00,0.298226872,0.247993686,0.562333352,0.402513783,0.201983021
B0005,48,3.564861551,34.24255324,1.79653069,0.96485145,120,2.937108133,0.012955224,10.17346551,31.99631514,3.55513607,Overheating,984.7,0.2,6.9,5.5,6.5,0,0,0,01-01-2024 23:30,0.551187038,0.523436719,0.526897003,0.486867279,0.346588224
B0005,49,3.562942517,33.42451918,1.786078116,0.959237752,119,-0.818034055,-0.001919034,10.6960942,32.34281002,3.556304562,Overheating,984.7,0.14,1.3,-0.2,2.4,0,0,0,01-02-2024 00:00,0.432269715,0.676949865,0.563322346,0.587418366,0.426723539
B0005,50,3.558978564,32.65292546,1.770280153,0.95075324,118,-0.771593725,-0.003963952,11.48599236,32.58497417,3.558266841,Normal,985.1,0.11,9.2,7.1,10.3,37.03,150,2,01-02-2024 00:30,0.081159974,0.501341157,0.55982549,0.509930112,0.332778744
B0005,51,3.558450567,32.20140726,1.759959835,0.945210571,117,-0.451518195,-0.000527997,12.00200823,32.76537005,3.559427905,Normal,985.2,0.67,8.3,4.9,12,0,0,0,01-02-2024 01:00,0.429013995,0.624235619,0.235680046,0.448093668,0.312915965
B0005,52,3.552628429,31.97218979,1.744080389,0.936682297,116,-0.229217467,-0.005822138,12.79598054,32.89871898,3.559572326,Normal,985.2,0.13,7.2,6.7,8.5,0,0,0,01-02-2024 01:30,0.31081962,0.573520939,0.589676744,0.573987228,0.286243381
B0005,53,3.548858076,32.06789612,1.74462563,0.936975126,115,0.095706326,-0.003770353,12.7687185,32.46378756,3.556371631,Normal,985.3,0.72,6.8,3.3,12.6,0,0,0,01-02-2024 02:00,0.262179667,0.572245317,0.397467617,0.34749434,0.259339607
B0005,54,3.549672607,32.41186556,1.74458746,0.936954626,114,0.343969445,0.000814531,12.77062702,32.26125684,3.553717649,Normal,985.4,0.7,7.2,5.4,9,36.64,140,3,01-02-2024 02:30,0.476946048,0.489982837,0.335034672,0.435663535,0.303092282
B0005,55,3.550412136,32.07523535,1.734542329,0.931559751,113,-0.336630212,0.000739529,13.27288355,32.14571882,3.552004363,Normal,985.6,0.69,8.1,5.2,11,0,0,1,01-02-2024 03:00,0.546833254,0.363126301,0.33376894,0.438522598,0.423382254
B0005,56,3.549476639,31.98995106,1.718700935,0.923051913,112,-0.085284289,-0.000935497,14.06495324,32.10342758,3.550209578,Normal,985.6,0.31,8.2,5.9,11.2,0,0,0,01-02-2024 03:30,0.530213353,0.375882286,0.559795216,0.314250468,0.502526306
B0005,57,3.550633378,31.85035063,1.713442591,0.920227847,111,-0.139600429,0.001156738,14.32787045,32.07905975,3.549810567,Normal,985.7,0.4,7.7,6.6,9.4,0,0,0,01-02-2024 04:00,0.235130413,0.621590346,0.463371152,0.412274948,0.484379728
B0005,58,3.544294911,32.17350639,1.708977153,0.917829623,110,0.323155759,-0.006338467,14.55114235,32.1001818,3.548897934,Normal,985.8,0.75,10,5.2,14.1,0,0,1,01-02-2024 04:30,0.323464604,0.529005177,0.248896011,0.213715348,0.418886625
B0005,59,3.543904921,32.54849276,1.697587213,0.911712499,109,0.374986363,-0.00038999,15.12063937,32.12750724,3.547744397,Normal,985.8,0.66,9.4,7.7,12.1,0,0,0,01-02-2024 05:00,0.430210572,0.507805225,0.566334458,0.692049829,0.418294414
B0005,60,3.539954665,32.3663968,1.691842475,0.908627209,108,-0.182095954,-0.003950256,15.40787626,32.18573953,3.545652903,Normal,985.9,0.7,9.1,5.7,12.8,0,0,1,01-02-2024 05:30,0.537590855,0.469506962,0.284513768,0.350186035,0.549564198
B0005,61,3.54404265,32.22136771,1.687799886,0.906456081,107,-0.145029088,0.004087985,15.61000569,32.23202286,3.544566105,Normal,986,0.4,8.1,6.2,10.3,38.64,160,2,01-02-2024 06:00,0.295137627,0.485436897,0.51662956,0.65293214,0.511061278
B0005,62,3.541642662,32.09430003,1.677458771,0.900902243,106,-0.12706768,-0.002399988,16.12706143,32.28081274,3.542767962,Normal,986.1,0.17,4,0.1,8,27.16,169,2,01-02-2024 06:30,0.344056837,0.666891467,0.531131393,0.46721597,0.520620321
B0005,63,3.538897682,32.28920157,1.671866934,0.89789907,105,0.194901534,-0.002744981,16.40665329,32.30395177,3.541688516,Normal,986.2,0.31,6.4,2.5,10.4,0,0,0,01-02-2024 07:00,0.190610838,0.481403425,0.62622716,0.530413401,0.500037084
B0005,64,3.542215797,32.17624463,1.671954341,0.897946014,104,-0.112956942,0.003318115,16.40228293,32.22950215,3.541350691,Normal,986.3,0.15,10,8.6,7.5,30.59,130,2,01-02-2024 07:30,0.175632229,0.346420315,0.757920756,0.404005982,0.413379056
B0005,65,3.539248284,32.53678379,1.667179559,0.895381651,103,0.360539166,-0.002967513,16.64102205,32.26357955,3.541209415,Normal,986.3,0.19,1.1,-0.3,2,30.59,130,2,01-02-2024 08:00,0.51042097,0.626193375,0.295525881,0.487592194,0.402906862
B0005,66,3.535247083,32.41500251,1.656827637,0.889822009,102,-0.121781286,-0.004001201,17.15861817,32.3023065,3.539450301,Normal,986.5,0.15,7.5,4.5,9.7,0,0,0,01-02-2024 08:30,0.601040005,0.498898989,0.48836951,0.540685841,0.423276648
B0005,67,3.537989494,32.25788724,1.645627833,0.883807001,101,-0.157115267,0.002742411,17.71860833,32.33502395,3.538719668,Normal,986.7,2.07,10.2,3.3,14.7,0,0,1,01-02-2024 09:00,0.362998313,0.530607228,0.455470432,0.542372943,0.46005153
B0005,68,3.530709629,32.34452189,1.646079338,0.884049488,100,0.086634656,-0.007279865,17.69603311,32.34608801,3.537082057,Normal,986.8,0.27,8.9,7.5,10.3,0,0,0,01-02-2024 09:30,0.542255483,0.742134017,0.559825795,0.555596086,0.522975913
B0005,69,3.528938688,32.42278452,1.630000247,0.875413992,99,0.078262622,-0.001770941,18.49998763,32.39539599,3.534426636,Normal,986.9,0.31,0.9,-1.1,5.4,32.2,160,3,01-02-2024 10:00,0.435272671,0.523634574,0.527776232,0.418458345,0.524431776
B0005,70,3.532374724,32.40850197,1.630708909,0.875794588,98,-0.014282548,0.003436035,18.46455456,32.36973962,3.533051924,Normal,986.9,0.18,0.7,-0.6,2.6,32.2,160,2,01-02-2024 10:30,0.267480041,0.56520286,0.444270334,0.405018538,0.44674775
B0005,71,3.529959034,32.38433757,1.625052067,0.872756504,97,-0.024164394,-0.00241569,18.74739665,32.36360664,3.531994314,Normal,987,0.29,5.2,2.4,7.9,30.59,130,3,01-02-2024 11:00,0.435232601,0.368179986,0.431285386,0.271394634,0.487039145
B0005,72,3.52898981,32.41631606,1.614290135,0.866976661,96,0.031978484,-0.000969223,19.28549324,32.3952924,3.530194377,Normal,987,0.46,6.7,4.8,8.8,30.59,130,2,01-02-2024 11:30,0.631339428,0.496913768,0.332005541,0.525417261,0.569661784
B0005,73,3.527988003,32.37859071,1.609489879,0.864398617,95,-0.037725344,-0.001001808,19.52550604,32.40210617,3.529650052,Normal,987,0.18,10.1,7.7,12.6,30.59,130,2,01-02-2024 12:00,0.369028993,0.608193437,0.641259074,0.592499309,0.620974949
B0005,74,3.524123492,32.4216765,1.609774994,0.864551742,94,0.043085788,-0.00386451,19.5112503,32.40188456,3.528687012,Normal,987.1,0.11,0.7,-0.2,1.5,25.76,150,2,01-02-2024 12:30,0.635773943,0.317659622,0.563566633,0.656515331,0.753311971
B0005,75,3.525669093,32.36449739,1.593363083,0.8557375,93,-0.057179112,0.001545601,20.33184587,32.39308365,3.527345886,Normal,987.4,0.19,10.2,8.4,11.2,26.11,147,2,01-02-2024 13:00,0,0.553347648,0.630958024,0.49925837,0.606514605
B0005,76,3.523723637,32.34308994,1.588763744,0.853267362,92,-0.021407455,-0.001945456,20.56181282,32.38483412,3.526098807,Normal,987.4,0.19,10.2,8.4,11.2,28.98,160,2,01-02-2024 13:30,0.511983751,0.539920202,0.450464789,0.370692885,0.580901975
B0005,77,3.51991699,32.22329344,1.587878891,0.85279214,91,-0.119796491,-0.003806648,20.60605544,32.3462296,3.524284243,Normal,987.4,0.11,7.6,6.2,10.7,26.11,147,2,01-02-2024 14:00,0.389507845,0.531934699,0.399551443,0.259047406,0.588526132
B0005,78,3.527398722,32.74877673,1.598442718,0.858465588,90,0.525483289,0.007481732,20.07786411,32.4202668,3.524166387,Normal,987.4,0.11,7.6,6.2,10.7,28.98,160,2,01-02-2024 14:30,0.325165442,0.665582609,0.337610045,0.587615118,0.526090911
B0005,79,3.51667999,32.29996341,1.572059034,0.844295868,89,-0.44881332,-0.010718731,21.39704832,32.39592418,3.522677687,Normal,987.4,0.14,0.9,-0.1,2.3,26.11,147,2,01-02-2024 15:00,0.390293463,0.571276149,0.548828335,0.247148792,0.513154864
B0005,80,3.515461908,31.98942006,1.567871418,0.842046852,88,-0.310543351,-0.001218083,21.60642909,32.32090872,3.520636249,Normal,987.4,0.14,0.9,-0.1,2.3,28.98,160,2,01-02-2024 15:30,0.043738514,0.724754002,0.343271284,0.421784932,0.448806672
B0005,81,3.515868435,32.10261257,1.568030227,0.842132143,87,0.113192511,0.000406527,21.59848863,32.27281325,3.519065209,Normal,987.5,0.45,10.2,7.1,13.2,0,0,1,01-02-2024 16:00,0.338388019,0.393052171,0.767764005,0.435737042,0.420954114
B0005,82,3.515252201,32.60943761,1.562508995,0.839166889,86,0.50682504,-0.000616234,21.87455026,32.35004208,3.518132251,Normal,987.5,0.57,7.2,3.6,11.4,0,0,1,01-02-2024 16:30,0.434518762,0.544635186,0.303907662,0.454314505,0.364348377
B0005,83,3.512970379,32.87487085,1.552040932,0.833544873,85,0.26543324,-0.002281821,22.39795338,32.3752609,3.515246583,Normal,987.5,0.17,6.1,2.6,11.2,0,0,0,01-02-2024 17:00,0.621315674,0.53772945,0.536298745,0.466942211,0.436906172
B0005,84,3.513549937,32.72228574,1.55187239,0.833454354,84,-0.152585112,0.000579557,22.40638051,32.45972537,3.514620572,Normal,987.5,0.23,4.8,2.1,8.8,0,0,0,01-02-2024 17:30,0.28862163,0.382897782,0.726348942,0.479220473,0.337064967
B0005,85,3.514176263,32.41864084,1.546432902,0.830533003,83,-0.303644901,0.000626327,22.67835492,32.54556952,3.514363443,Normal,987.7,0.18,5.2,2.3,6.6,0,0,0,01-02-2024 18:00,0.240251066,0.654730515,0.584124469,0.172877338,0.406161312
B0005,86,3.510924066,32.26726773,1.53089202,0.822186559,82,-0.151373113,-0.003252197,23.45539898,32.57850056,3.513374569,Normal,987.7,0.18,8.2,6.9,9.4,0,0,0,01-02-2024 18:30,0.291373826,0.838369579,0.521898487,0.464405256,0.342713771
B0005,87,3.510490706,32.54976583,1.531541915,0.822535594,81,0.2824981,-0.00043336,23.42290426,32.5665662,3.51242227,Normal,987.7,0.13,6.1,5.2,7.2,0,0,0,01-02-2024 19:00,0.52756702,0.524111593,0.353751068,0.195166174,0.382419669
B0005,88,3.51396095,32.86772312,1.525672854,0.819383534,80,0.317957293,0.003470245,23.71635731,32.56513665,3.512620384,Normal,987.8,0.21,10.5,7.9,13.5,20.93,160,2,01-02-2024 19:30,0.429791852,0.594168666,0.293013883,0.550490751,0.412510285
B0005,89,3.511665067,32.95356237,1.52576173,0.819431267,79,0.085839253,-0.002295883,23.71191348,32.61139198,3.512243411,Normal,987.8,1.39,11.6,6.4,15.8,20.93,160,2,01-02-2024 20:00,0.286706633,0.537736387,0.609249108,0.396048969,0.382718653
B0005,90,3.524360573,32.74405577,1.608829112,0.864043743,78,-0.209506606,0.012695505,19.55854442,32.67647496,3.514280272,Normal,987.8,0.28,8.8,5.5,10.6,20.93,160,2,01-02-2024 20:30,0.460544572,0.430629373,0.717427264,0.203868615,0.502592316
B0005,91,3.518458008,33.24446965,1.566852501,0.841499628,77,0.500413883,-0.005902565,21.65737497,32.87191535,3.515787061,Overheating,987.8,0.34,6,4.4,6.8,20.93,160,2,01-02-2024 21:00,0.391179592,0.282044225,0.43158698,0.364967357,0.517775202
B0005,92,3.515974211,33.26247319,1.551090509,0.833034434,76,0.018003534,-0.002483796,22.44547457,33.01445682,3.516883762,Overheating,987.8,0.21,9.8,7.5,13.2,20.93,160,2,01-02-2024 21:30,0.536440832,0.431677649,0.328682639,0.394255405,0.547088048
B0005,93,3.518496072,33.03643936,1.535406471,0.824611107,75,-0.226033822,0.002521861,23.22967646,33.04820007,3.517790786,Normal,987.8,0.45,7,4.6,9.8,20.93,160,2,01-02-2024 22:00,0.257991151,0.339590284,0.134824171,0.605494502,0.442595706
B0005,94,3.51123429,32.87155281,1.535212259,0.824506802,74,-0.164886557,-0.007261782,23.23938707,33.03179816,3.517704631,Normal,987.9,2.65,9.9,5.5,14.4,0,0,1,01-02-2024 22:30,0.320389642,0.755087697,0.351946201,0.486237505,0.451732205
B0005,95,3.50931105,32.89257892,1.519987688,0.816330238,73,0.021026115,-0.00192324,24.00061561,33.06150279,3.514694726,Normal,987.9,0.12,0.8,-4.3,8,0,0,0,01-02-2024 23:00,0.309648641,0.510945894,0.479377949,0.503969845,0.471690987
B0005,96,3.511603947,32.80043973,1.514954137,0.8136269,72,-0.092139196,0.002292897,24.25229315,32.9726968,3.513323914,Normal,988.1,0.45,1.2,-2.3,6.8,0,0,0,01-02-2024 23:30,0.131080842,0.479970786,0.731091184,0.604357434,0.425590632
B0005,97,3.507014738,32.94959586,1.50959458,0.810748477,71,0.14915613,-0.004589209,24.520271,32.91012134,3.51153202,Normal,988.1,0.29,5.3,-0.5,10.8,0,0,0,01-03-2024 00:00,0.42435338,0.645720036,0.595006098,0.451112624,0.39590633
B0005,98,3.504591121,32.96026949,1.509857481,0.810889671,70,0.010673637,-0.002423617,24.50712595,32.89488736,3.508751029,Normal,988.2,0.28,7.5,6.5,9,0,0,0,01-03-2024 00:30,0.418509212,0.375852633,0.540917061,0.553126465,0.392661436
B0005,99,3.507181971,32.97614022,1.499146951,0.805137434,69,0.015870731,0.002590851,25.04265245,32.91580484,3.507940565,Normal,988.2,0.1,8.6,6.1,11.9,0,0,0,01-03-2024 01:00,0.375852243,0.423479177,0.437278859,0.544689396,0.418299765
B0005,100,3.506281534,33.07671102,1.488922001,0.799645985,68,0.100570794,-0.000900437,25.55389995,32.95263126,3.507334662,Normal,988.2,0.17,1.8,0.3,2.7,0,0,0,01-03-2024 01:30,0.335902144,0.535529274,0.410378082,0.308310035,0.382452531
B0005,101,3.504895348,32.96964994,1.483434353,0.796698768,67,-0.107061079,-0.001386186,25.82828233,32.98647331,3.505992942,Normal,988.3,0.54,10.8,8,16,23.28,151,2,01-03-2024 02:00,0.139104876,0.664456667,0.702657656,0.639359936,0.309955697
